SizeKb,readmeSize,stargazers,language,forks_count,open_issues_count,DescLen,numOfContributors,isActive
148,285,0,JavaScript,0,0,45,1,false
29521,286,0,C,0,0,48,22,false
748,0,1,CSS,0,0,27,2,false
40956,3011,0,Java,0,0,222,1,false
0,0,0,'Not Specified',0,0,0,-1,false
121,466,11,JavaScript,11,0,57,2,true
135,871,1,JavaScript,1,0,9,1,false
0,0,0,'Not Specified',0,0,0,-1,false
48908,0,0,C,0,0,40,30,false
0,0,0,'Not Specified',0,0,0,-1,false
351,7859,0,Java,0,0,61,2,false
128,416,0,Objective-C,0,0,26,1,false
4609,13994,0,JavaScript,0,0,26,1,false
8222,956,0,'Not Specified',0,0,4,1,false
328,185,0,Ruby,0,0,0,1,false
657703,0,0,C,0,0,0,30,false
11281,5208,0,CSS,0,0,35,25,false
0,0,0,'Not Specified',0,0,22,-1,false
178,196,0,JavaScript,0,0,20,1,true
184,574,6,CSS,6,1,55,1,false
456,15,0,Java,0,0,26,2,false
0,34,0,'Not Specified',0,0,0,1,false
314,2512,0,Objective-C,0,0,52,2,false
308,2847,0,PHP,0,0,160,1,false
148,32,1,Java,0,0,22,1,true
184,1270,0,Java,0,0,43,2,false
35372,702,0,JavaScript,0,0,52,30,false
172,128,22,'Not Specified',25,0,22,1,true
699,58,0,Python,0,0,15,3,false
25380,0,0,Other,0,0,27,0,false
437,399,0,JavaScript,0,0,129,1,false
52050,1819,0,JavaScript,0,0,0,30,false
599824,0,1,C,0,0,18,30,false
176,0,0,JavaScript,0,0,0,1,false
116,28,0,Other,0,0,0,1,false
144,8,0,'Not Specified',0,0,0,1,false
4537,1522,0,PHP,0,0,41,1,false
109411,0,0,Java,0,0,19,30,false
140,36,0,'Not Specified',0,0,12,1,false
18269,13520,0,Java,0,0,22,3,false
124,0,0,'Not Specified',0,0,0,1,false
71,76,0,Java,0,0,36,3,false
252,117,1,C,1,1,89,1,false
787,754,0,CSS,0,0,0,7,false
1484,0,0,PHP,0,0,0,1,false
1994,4918,0,CSS,0,0,21,5,true
148,0,0,'Not Specified',0,0,0,1,false
0,0,0,'Not Specified',0,0,15,-1,false
4545,0,19,C,3,18,39,3,true
955,20383,0,PHP,0,0,37,11,false
124,0,0,'Not Specified',0,0,30,1,false
124,0,0,'Not Specified',0,0,0,1,false
75219,4104,0,CSS,0,0,92,7,false
120,0,0,Ruby,1,0,0,1,false
3151,9659,0,Other,0,0,30,30,false
208,24,0,C#,0,0,0,1,false
641,1984,0,JavaScript,0,0,20,5,false
580,25,0,Java,0,0,64,1,false
15356,0,0,C,0,0,49,30,false
0,0,0,'Not Specified',0,0,5,-1,false
11664,18,0,JavaScript,0,0,0,1,false
115,81,0,CSS,0,0,14,1,false
47855,4466,0,JavaScript,0,0,118,26,false
3196,34,0,Java,0,0,47,0,false
9572,0,1,JavaScript,0,0,75,1,false
396,163,0,Java,0,0,155,1,false
267,9207,0,Other,0,0,0,8,false
0,0,0,'Not Specified',0,0,46,-1,false
0,0,0,'Not Specified',0,0,0,-1,false
0,0,0,'Not Specified',0,0,0,-1,false
3213,0,0,JavaScript,0,0,117,1,false
315,3324,0,JavaScript,0,0,85,3,false
132159,2570,0,JavaScript,0,0,0,1,true
111207,4592,1,'Not Specified',1,0,63,26,false
88436,0,0,Java,0,0,69,1,false
2057,6652,0,Objective-C,0,0,0,1,false
0,0,0,'Not Specified',0,0,0,-1,false
1078754,0,0,C,0,0,7,30,false
1284,0,0,Other,0,0,0,2,false
0,0,0,'Not Specified',0,0,4,-1,false
319,10895,0,'Not Specified',0,0,13,4,false
169,249,0,JavaScript,0,0,0,2,false
490,550,0,Objective-C,0,0,119,1,false
0,0,0,'Not Specified',0,0,9,-1,false
112,1072,0,JavaScript,0,0,63,4,false
58700,24,0,C,0,0,0,0,false
0,34,0,'Not Specified',0,0,0,1,false
